iter	Passed	Remaining
407	5710	8285
408	5724	8272
409	5738	8258
410	5752	8243
411	5765	8228
412	5776	8210
413	5787	8192
414	5801	8178
415	5813	8161
416	5824	8143
417	5837	8127
418	5847	8108
419	5862	8096
420	5877	8083
421	5889	8066
422	5901	8050
423	5913	8033
424	5926	8018
425	5939	8002
426	5952	7988
427	5964	7971
428	5978	7957
429	5992	7943
430	6006	7929
431	6020	7915
432	6034	7902
433	6048	7887
434	6061	7873
435	6076	7860
436	6090	7845
437	6103	7831
438	6115	7815
439	6127	7798
440	6141	7784
441	6152	7767
442	6166	7753
443	6177	7736
444	6192	7722
445	6206	7709
446	6218	7692
447	6230	7676
448	6245	7663
449	6258	7649
450	6272	7635
451	6287	7623
452	6299	7607
453	6313	7592
454	6326	7578
455	6340	7564
456	6354	7550
457	6369	7537
458	6382	7522
459	6396	7508
460	6409	7494
461	6423	7480
462	6437	7466
463	6452	7453
464	6466	7440
465	6482	7427
466	6495	7413
467	6508	7398
468	6519	7381
469	6533	7367
470	6547	7353
471	6559	7338
472	6573	7324
473	6587	7310
474	6601	7295
475	6613	7279
476	6627	7266
477	6639	7250
478	6650	7233
479	6665	7220
480	6677	7205
481	6691	7190
482	6704	7176
483	6719	7164
484	6732	7148
485	6744	7132
486	6758	7119
487	6773	7106
488	6786	7091
489	6799	7077
490	6813	7063
491	6825	7047
492	6839	7033
493	6853	7019
494	6867	7006
495	6880	6991
496	6895	6979
497	6910	6965
498	6924	6952
499	6938	6938
500	6952	6924
501	6966	6910
502	6979	6896
503	6991	6880
504	7004	6866
505	7019	6852
506	7033	6838
507	7046	6824
508	7057	6807
509	7070	6793
510	7083	6778
511	7093	6761
512	7106	6746
513	7120	6732
514	7132	6717
515	7148	6705
516	7160	6689
517	7182	6682
518	7201	6674
519	7213	6658
520	7228	6645
521	7255	6643
522	7279	6638
523	7291	6623
524	7303	6608
525	7318	6595
526	7333	6582
527	7348	6569
528	7362	6555
529	7375	6540
530	7387	6524
531	7401	6511
532	7415	6496
533	7427	6481
534	7440	6466
535	7451	6450
536	7465	6436
537	7478	6422
538	7493	6409
539	7507	6395
540	7523	6383
541	7537	6369
542	7552	6356
543	7565	6341
544	7579	6327
545	7593	6314
546	7606	6299
547	7619	6284
548	7632	6270
549	7646	6256
550	7657	6239
551	7669	6224
552	7683	6210
553	7697	6197
554	7711	6183
555	7725	6169
556	7739	6155
557	7753	6141
558	7765	6126
559	7778	6111
560	7790	6096
561	7803	6081
562	7817	6067
563	7830	6053
564	7841	6037
565	7854	6022
566	7868	6008
567	7881	5994
568	7896	5981
569	7907	5965
570	7922	5952
571	7936	5938
572	7951	5925
573	7963	5910
574	7978	5896
575	7990	5881
576	8004	5867
577	8018	5854
578	8031	5840
579	8054	5832
580	8067	5818
581	8079	5802
582	8093	5789
583	8104	5773
584	8118	5759
585	8131	5744
586	8146	5731
587	8159	5717
588	8172	5702
589	8186	5688
590	8200	5675
591	8214	5661
592	8227	5646
593	8241	5633
594	8253	5618
595	8264	5602
596	8278	5588
597	8292	5574
598	8307	5561
599	8320	5546
600	8333	5532
601	8346	5518
602	8361	5504
603	8375	5491
604	8389	5477
605	8403	5463
606	8416	5449
607	8428	5434
608	8441	5419
609	8454	5405
610	8468	5391
611	8481	5377
612	8493	5362
613	8506	5347
614	8517	5332
615	8530	5317
616	8543	5303
617	8557	5289
618	8571	5275
619	8586	5262
620	8599	5248
621	8613	5234
622	8627	5220
623	8639	5205
624	8650	5190
625	8663	5175
626	8677	5162
627	8690	5147
628	8704	5134
629	8717	5120
630	8729	5104
631	8743	5090
632	8756	5076
633	8766	5061
634	8781	5047
635	8796	5034
636	8810	5020
637	8824	5006
638	8835	4991
639	8849	4978
640	8864	4964
641	8876	4950
642	8891	4936
643	8906	4923
644	8918	4908
645	8932	4894
646	8945	4880
647	8959	4867
648	8972	4852
649	8985	4838
650	8997	4823
651	9010	4809
652	9021	4794
653	9036	4780
654	9050	4767
655	9065	4753
656	9078	4739
657	9090	4724
658	9104	4711
659	9115	4695
660	9129	4682
661	9142	4668
662	9156	4654
663	9168	4639
664	9182	4625
665	9196	4612
666	9209	4598
667	9224	4584
668	9237	4570
669	9250	4556
670	9264	4542
671	9275	4527
672	9288	4512
673	9300	4498
674	9313	4484
675	9326	4470
676	9337	4455
677	9351	4441
678	9365	4427
679	9378	4413
680	9392	4399
681	9404	4385
682	9420	4372
683	9433	4358
684	9447	4344
685	9458	4329
686	9472	4315
687	9486	4301
688	9499	4288
689	9514	4274
690	9527	4260
691	9538	4245
692	9549	4230
693	9561	4215
694	9573	4201
695	9586	4187
696	9599	4173
697	9613	4159
698	9626	4145
699	9639	4131
700	9652	4117
701	9667	4103
702	9681	4090
703	9695	4076
704	9708	4062
705	9720	4048
706	9735	4034
707	9747	4020
708	9760	4006
709	9772	3991
710	9786	3977
711	9800	3964
712	9812	3949
713	9826	3935
714	9840	3922
715	9853	3908
716	9867	3894
717	9881	3880
718	9894	3866
719	9906	3852
720	9920	3838
721	9934	3825
722	9947	3811
723	9961	3797
724	9975	3783
725	9988	3769
726	10002	3756
727	10014	3741
728	10027	3727
729	10040	3713
730	10052	3699
731	10067	3685
732	10080	3671
733	10094	3658
734	10108	3644
735	10123	3631
736	10133	3616
737	10144	3601
738	10155	3586
739	10169	3573
740	10184	3559
741	10197	3545
742	10210	3531
743	10223	3517
744	10236	3503
745	10249	3489
746	10260	3475
747	10274	3461
748	10289	3448
749	10303	3434
750	10315	3420
751	10326	3405
752	10340	3391
753	10352	3377
754	10366	3363
755	10379	3350
756	10394	3336
757	10408	3323
758	10419	3308
759	10430	3293
760	10445	3280
761	10458	3266
762	10473	3253
763	10485	3238
764	10497	3224
765	10511	3211
766	10524	3197
767	10537	3183
768	10549	3169
769	10563	3155
770	10576	3141
771	10590	3127
772	10604	3114
773	10615	3099
774	10628	3085
775	10643	3072
776	10658	3058
777	10670	3044
778	10683	3030
779	10697	3017
780	10773	3021
781	10847	3023
782	10868	3012
783	10901	3003
784	10924	2992
785	10939	2978
786	10951	2964
787	10965	2950
788	10976	2935
789	10990	2921
790	11002	2907
791	11014	2892
792	11025	2878
793	11038	2863
794	11053	2850
795	11067	2836
796	11081	2822
797	11094	2808
798	11108	2794
799	11120	2780
800	11134	2766
801	11149	2752
802	11162	2738
803	11177	2724
804	11189	2710
805	11203	2696
806	11216	2682
807	11228	2668
808	11240	2653
809	11254	2639
810	11267	2625
811	11278	2611
812	11289	2596
813	11304	2583
814	11319	2569
815	11333	2555
816	11347	2541
817	11360	2527
818	11372	2513
819	11383	2498
820	11397	2484
821	11410	2470
822	11423	2456
823	11437	2442
824	11449	2428
825	11463	2414
826	11475	2400
827	11490	2386
828	11505	2373
829	11518	2359
830	11533	2345
831	11546	2331
832	11560	2317
833	11575	2303
834	11589	2290
835	11602	2276
836	11616	2262
837	11630	2248
838	11645	2234
839	11656	2220
840	11670	2206
841	11681	2192
842	11696	2178
843	11709	2164
844	11724	2150
845	11737	2136
846	11752	2122
847	11766	2109
848	11780	2095
849	11794	2081
850	11807	2067
851	11821	2053
852	11835	2039
853	11849	2025
854	11862	2011
855	11876	1997
856	11888	1983
857	11900	1969
858	11915	1955
859	11929	1942
860	11943	1928
861	11958	1914
862	11971	1900
863	11986	1886
864	11999	1872
865	12013	1858
866	12027	1844
867	12038	1830
868	12052	1816
869	12066	1803
870	12080	1789
871	12094	1775
872	12106	1761
873	12121	1747
874	12135	1733
875	12148	1719
876	12160	1705
877	12173	1691
878	12185	1677
879	12199	1663
880	12211	1649
881	12225	1635
882	12237	1621
883	12251	1607
884	12265	1593
885	12276	1579
886	12289	1565
887	12302	1551
888	12314	1537
889	12328	1523
890	12342	1509
891	12356	1496
892	12367	1481
893	12380	1467
894	12394	1454
895	12405	1439
896	12418	1425
897	12432	1412
898	12445	1398
899	12459	1384
900	12472	1370
901	12487	1356
902	12499	1342
903	12514	1329
904	12530	1315
905	12546	1301
906	12562	1288
907	12578	1274
908	12589	1260
909	12604	1246
910	12615	1232
911	12630	1218
912	12644	1204
913	12659	1191
914	12673	1177
915	12688	1163
916	12702	1149
917	12716	1135
918	12728	1121
919	12743	1108
920	12757	1094
921	12773	1080
922	12789	1066
923	12806	1053
924	12821	1039
925	12836	1025
926	12852	1012
927	12867	998
928	12878	984
929	12893	970
930	12908	956
931	12922	942
932	12937	929
933	12950	915
934	12962	901
935	12977	887
936	12990	873
937	13003	859
938	13015	845
939	13026	831
940	13040	817
941	13051	803
942	13065	789
943	13083	776
944	13098	762
945	13112	748
946	13127	734
947	13141	720
948	13160	707
949	13173	693
950	13187	679
951	13202	665
952	13216	651
953	13230	637
954	13244	624
955	13256	610
956	13271	596
957	13286	582
958	13300	568
959	13312	554
960	13326	540
961	13341	526
962	13356	513
963	13370	499
964	13385	485
965	13400	471
966	13412	457
967	13426	443
968	13441	430
969	13453	416
970	13469	402
971	13484	388
972	13497	374
973	13509	360
974	13524	346
975	13538	332
976	13552	319
977	13566	305
978	13579	291
979	13593	277
980	13606	263
981	13619	249
982	13634	235
983	13646	221
984	13661	208
985	13675	194
986	13689	180
987	13703	166
988	13717	152
989	13731	138
990	13744	124
991	13758	110
992	13772	97
993	13786	83
994	13802	69
995	13815	55
996	13830	41
997	13843	27
998	13856	13
999	13871	0
