iter	Logloss
0	0.6785985107
1	0.6676603688
2	0.6589560968
3	0.6522194701
4	0.6464450726
5	0.6419199441
6	0.6382923798
7	0.6358951979
8	0.6331516493
9	0.6310475203
10	0.6292059993
11	0.6280631199
12	0.6267038155
13	0.6255387518
14	0.6246778195
15	0.6236173954
16	0.6227741174
17	0.621998792
18	0.6215217574
19	0.6210967499
20	0.6204565895
21	0.6200870992
22	0.6198078899
23	0.6195962505
24	0.619083827
25	0.6189362765
26	0.6185921396
27	0.6182855505
28	0.6181688165
29	0.6179969662
30	0.6178021332
31	0.61760103
32	0.6174635902
33	0.6173660684
34	0.6172184948
35	0.6171228709
36	0.6169960969
37	0.6168752768
38	0.6168257331
39	0.6167395978
40	0.6166635364
41	0.6165683902
42	0.616524307
43	0.6164690795
44	0.6163705715
45	0.61631472
46	0.6162508945
47	0.6162096569
48	0.61617081
49	0.6161115224
50	0.6160882454
51	0.6160394704
52	0.6159952902
53	0.6158899157
54	0.6158630322
55	0.6158376648
56	0.6158113617
57	0.6157487749
58	0.6157352682
59	0.6157141247
60	0.6156024892
61	0.6155608584
62	0.6155328722
63	0.6155101768
64	0.6154924514
65	0.6154793242
66	0.6154606582
67	0.6154131496
68	0.6153899469
69	0.6153737452
70	0.6153591637
71	0.6153410156
72	0.615327997
73	0.615297788
74	0.6152700914
75	0.6152522691
76	0.6152409766
77	0.6152270508
78	0.6151943138
79	0.6151574987
80	0.6151397201
81	0.6151299463
82	0.6151164857
83	0.615081379
84	0.6150722149
85	0.6150611338
86	0.6150484789
87	0.6150375864
88	0.6150240942
89	0.6150084741
90	0.61496776
91	0.6149492746
92	0.6149302182
93	0.6149150375
94	0.61490288
95	0.6148925987
96	0.6148833498
97	0.6148722353
98	0.6148574184
99	0.614818997
100	0.6148117009
101	0.6148007043
102	0.6147797534
103	0.614766945
104	0.6147582826
105	0.6147462006
106	0.6147340839
107	0.6147191909
108	0.6147075649
109	0.6146864153
110	0.6146259138
111	0.614582317
112	0.6145612094
113	0.6145502494
114	0.6145414412
115	0.6145267755
116	0.6144823758
117	0.6144604607
118	0.6144228573
119	0.6144074228
120	0.6143951632
121	0.614380779
122	0.6143570366
123	0.6143366503
124	0.6143219607
125	0.6143063969
126	0.6142839427
127	0.6142751031
128	0.6142432018
129	0.6142317095
130	0.6142207507
131	0.6142118775
132	0.614200475
133	0.6141902752
134	0.6141786622
135	0.6141435902
136	0.6141273508
137	0.6141096204
138	0.614097693
139	0.6140859199
140	0.6140737132
141	0.6140588987
142	0.6140489665
143	0.6140267369
144	0.6140141527
145	0.6140002815
146	0.6139904552
147	0.6139814901
148	0.6139679419
149	0.6139565768
150	0.6139412901
151	0.6139192743
152	0.6139120578
153	0.6139030215
154	0.6138904589
155	0.6138837575
156	0.6138682669
157	0.6138548383
158	0.6138510978
159	0.6138407956
160	0.6138116245
161	0.6137969385
162	0.6137805477
163	0.613772882
164	0.6137645043
165	0.6137525107
166	0.6137300835
167	0.6137223908
168	0.613709479
169	0.6136933851
170	0.613681573
171	0.6136691469
172	0.6136576724
173	0.6136492873
174	0.6136364258
175	0.6136174302
176	0.6136001515
177	0.6135925736
178	0.6135799489
179	0.6135691741
180	0.6135584867
181	0.6135485822
182	0.6135397621
183	0.6135300254
184	0.6135180065
185	0.6135083207
186	0.613495331
187	0.6134884748
188	0.613478906
189	0.613464919
190	0.6134519219
191	0.6134392797
192	0.6134329005
193	0.6134151718
194	0.6134054283
195	0.6133965287
196	0.6133885854
197	0.6133762662
198	0.6133641837
199	0.6133567328
200	0.6133472074
201	0.6133406539
202	0.6133187935
203	0.6133057807
204	0.6133008724
205	0.6132867498
206	0.6132766104
207	0.6132678462
208	0.6132625303
209	0.6132562886
210	0.6132479079
211	0.6132396192
212	0.6132322982
213	0.6132245777
214	0.6132184805
215	0.6132017784
216	0.6131944297
217	0.6131872265
218	0.6131721022
219	0.6131490232
220	0.613112896
221	0.6131065658
222	0.6130984546
223	0.6130892487
224	0.613080124
225	0.6130694657
226	0.6130603459
227	0.6130506392
228	0.6130358369
229	0.6130303685
230	0.6130233518
231	0.6130123734
232	0.6130038971
233	0.6129951708
234	0.6129886213
235	0.6129724028
236	0.6129654672
237	0.6129521696
238	0.6129411959
239	0.6129333237
240	0.6129169336
241	0.6128993966
242	0.6128896606
243	0.6128793578
244	0.6128707835
245	0.6128624701
246	0.6128540796
247	0.6128425981
248	0.6128349342
249	0.6128293784
250	0.6128222223
251	0.6128143719
252	0.6128078755
253	0.6127988268
254	0.6127895404
255	0.6127837521
256	0.6127759914
257	0.6127697999
258	0.6127617516
259	0.6127559722
260	0.6127455939
261	0.6127357593
262	0.6127275837
263	0.6127162374
264	0.612709829
265	0.6127001343
266	0.6126967087
267	0.6126883202
268	0.6126770182
269	0.6126698661
270	0.6126648984
271	0.6126574117
272	0.6126523034
273	0.6126429836
274	0.6126378792
275	0.6126279678
276	0.6126152302
277	0.612605975
